uid,receptor_chains,ligand_chains,dG,fold_id,cluster_id,source,Subgroup,fold_id_old,KD
2ihs,A,C,-10.09,,,,,,3.9834176542341175e-08
2iy1,A,B,-8.32,,,,,,7.912758494964558e-07
2iyb,A,E,-7.42,,,,,,3.617133643619944e-06
2j12,A,B,-10.5,,,,,,1.9932991595123004e-08
2jki,A,S,-7.89,,,,,,1.63560621449175e-06
2noj,A,B,-10.75,,,,,,1.3068597169482669e-08
2o39,A,C,-10.75,,,,,,1.3068597169482669e-08
2omt,A,B,-9.54,,,,,,1.0083506227453717e-07
2omu,A,B,-12.57,,,,,,6.046279256347401e-10
2omv,A,B,-12.16,,,,,,1.2082910594341794e-09
2omw,A,B,-6.82,,,,,,9.962973716716144e-06
2omx,A,B,-9.44,,,,,,1.1938478338527046e-07
2omy,A,B,-9.13,,,,,,2.015092241991727e-07
2omz,A,B,-8.72,,,,,,4.026969044437869e-07
2ot8,A,C,-10.5,,,,,,1.9932991595123004e-08
2oza,B,A,-11.73,,,,,,2.4975972247642995e-09
2p1l,A,B,-7.69,,,,,,2.2927334216599213e-06
2p8q,A,B,-10.65,,,,,,1.5472709661052327e-08
2pcb,A,B,-6.82,,,,,,9.962973716716144e-06
2pkg,A,C,-8.15,,,,,,1.0543905361852215e-06
2pms,A,C,-10.89,,,,,,1.0317075399059094e-08
2ptt,B,A,-7.36,,,,,,4.0028286361107006e-06
2q5d,A,C,-10.65,,,,,,1.5472709661052327e-08
2qho,A,B,-5.76,,,,,,5.967129687318568e-05
2qna,A,B,-9.66,,,,,,8.23392079301751e-08
2qxv,A,B,-8.75,,,,,,3.828045310960746e-07
2rex,B,A,-7.17,,,,,,5.51706457714369e-06
2uyz,A,B,-9.66,,,,,,8.23392079301751e-08
2v4z,A,B,-8.05,,,,,,1.2483572968223238e-06
2v5q,A,D,-9.75,,,,,,7.072989616525166e-08
2v8s,E,V,-6.35,,,,,,2.2033058508788777e-05
2v9t,B,A,-11.03,,,,,,8.144871512179659e-09
2vay,A,B,-11.05,,,,,,7.874387026759807e-09
2vn5,A,B,-12.27,,,,,,1.0034608117035556e-09
2vog,A,B,-9.11,,,,,,2.0843104790807097e-07
2voh,A,B,-12.27,,,,,,1.0034608117035556e-09
2voi,A,B,-12.22,,,,,,1.0918654380895875e-09
2vsm,A,B,-10.17,,,,,,3.4800534945116476e-08
2w2x,A,D,-6.35,,,,,,2.2033058508788777e-05
2w80,D,A,-11.45,,,,,,4.007440998087352e-09
2w8b,A,H,-10.12,,,,,,3.7866452671025584e-08
2wd5,B,A,-10.44,,,,,,2.205844666564828e-08
2wfx,B,A,-10.71,,,,,,1.3981827292845348e-08
2wg3,C,A,-9.73,,,,,,7.315946173055103e-08
2wg4,B,A,-9.72,,,,,,7.440536337389604e-08
2wh6,A,B,-10.56,,,,,,1.8012336043135822e-08
2wjv,A,D,-9.13,,,,,,2.015092241991727e-07
2wo2,A,B,-6.77,,,,,,1.0840709009263238e-05
2wo3,A,B,-7.69,,,,,,2.2927334216599213e-06
2wp3,T,O,-8.32,,,,,,7.912758494964558e-07
2wus,A,R,-7.23,,,,,,4.985464457804071e-06
2wwk,T,O,-8.04,,,,,,1.2696167535050607e-06
2wwx,B,A,-9.68,,,,,,7.960479054205976e-08
2wy3,A,B,-9.79,,,,,,6.611013721332422e-08
2wy8,A,Q,-8.79,,,,,,3.578014594778486e-07
2xa0,A,C,-10.16,,,,,,3.5393186157301256e-08
2xbb,A,C,-6.76,,,,,,1.102532569246699e-05
2xgy,B,A,-6.17,,,,,,2.9859471496266892e-05
2xhe,A,B,-11.47,,,,,,3.874357177845737e-09
2xpx,A,B,-9.3,,,,,,1.5122421634820338e-07
2xqr,A,B,-10.24,,,,,,3.0920729850583325e-08
2xze,B,R,-9.47,,,,,,1.1348742818603985e-07
2y9m,A,B,-11.86,,,,,,2.005320422474886e-09
2z3q,A,B,-14.21,,,,,,3.7910085262467134e-11
2z58,A,B,-10.63,,,,,,1.6004195844865444e-08
2z8v,A,D,-11.34,,,,,,4.825455137583818e-09
2z8w,A,D,-11.36,,,,,,4.665205740419722e-09
2za4,A,B,-13.44,,,,,,1.3914024990809646e-10
3ajb,A,B,-10.08,,,,,,4.0512550396405135e-08
3au4,A,B,-8.56,,,,,,5.276162210462015e-07
3b08,A,B,-6.5,,,,,,1.7102857622981085e-05
3bdy,L,H,-8.89,,,,,,3.0220712745222757e-07
3bik,A,B,-6.95,,,,,,7.999270044270968e-06
3bx7,A,C,-10.97,,,,,,9.013359233740436e-09
3bzd,B,A,-5.48,,,,,,9.574370083679618e-05
3c66,A,C,-7.53,,,,,,3.0039549111344034e-06
3c9a,B,D,-11.06,,,,,,7.742532126896276e-09
3cqg,A,B,-11.45,,,,,,4.007440998087352e-09
3cx6,A,B,-7.25,,,,,,4.81990128269057e-06
3cx7,A,B,-8.57,,,,,,5.187814020620694e-07
3cx8,A,B,-8.82,,,,,,3.401268259315072e-07
3d1m,A,D,-7.59,,,,,,2.714507005111046e-06
3d5r,A,C,-10.53,,,,,,1.894834406897757e-08
3d5s,A,C,-10.34,,,,,,2.6116341058272472e-08
3dvm,A,B,-11.41,,,,,,4.28747991807168e-09
3dvu,A,C,-9.13,,,,,,2.015092241991727e-07
3dxc,A,B,-9.08,,,,,,2.19262132405348e-07
3dxd,A,B,-8.82,,,,,,3.401268259315072e-07
3dxe,A,B,-8.84,,,,,,3.2883149372743394e-07
3e2u,A,E,-7.69,,,,,,2.2927334216599213e-06
3eab,A,G,-6.71,,,,,,1.1996653907040884e-05
3eba,B,A,-11.76,,,,,,2.374221216856206e-09
3egg,A,C,-10.99,,,,,,8.714032985242024e-09
3fhc,A,B,-10.45,,,,,,2.168908276895892e-08
3fpu,A,B,-13.53,,,,,,1.1952234756438834e-10
3g3a,A,B,-8.68,,,,,,4.3083725791506585e-07
3g3b,A,B,-10.18,,,,,,3.421780754871191e-08
3g9v,A,B,-16.36,,,,,,1.0046170751646509e-12
3gb8,A,B,-7.07,,,,,,6.531989415264845e-06
3gc3,B,A,-7.74,,,,,,2.107098603967315e-06
3gj3,A,B,-5.88,,,,,,4.872598092246277e-05
3gj4,A,B,-7.06,,,,,,6.6432288387691466e-06
3gj5,A,B,-5.9,,,,,,4.710783116323321e-05
3gj6,A,B,-7.07,,,,,,6.531989415264845e-06
3gj7,A,B,-7.36,,,,,,4.0028286361107006e-06
3gj8,A,B,-7.53,,,,,,3.0039549111344034e-06
3gni,A,B,-10.8,,,,,,1.2010477359243812e-08
3gxu,A,B,-9.13,,,,,,2.015092241991727e-07
3h2u,B,A,-6.68,,,,,,1.2620058018164804e-05
3h2v,A,E,-6.35,,,,,,2.2033058508788777e-05
3h8k,A,B,-10.47,,,,,,2.0968806165059436e-08
3hct,B,A,-7.95,,,,,,1.4780063809827132e-06
3htu,A,B,-7.83,,,,,,1.8100109196452197e-06
3ia3,D,A,-9.59,,,,,,9.267079065642438e-08
3ixs,A,B,-9.61,,,,,,8.959326990159503e-08
3k1r,A,B,-12.27,,,,,,1.0034608117035556e-09
3k2m,D,A,-11.12,,,,,,6.996495725636749e-09
3kbt,A,D,-10.95,,,,,,9.32296731192576e-09
3knb,A,B,-8.22,,,,,,9.368397634637536e-07
3kw5,A,B,-8.75,,,,,,3.828045310960746e-07
3kz1,A,F,-9.49,,,,,,1.0971860401630097e-07
3l9j,T,C,-12.91,,,,,,3.405187457916308e-10
3lbx,B,A,-8.72,,,,,,4.026969044437869e-07
3m18,A,B,-13.29,,,,,,1.7924988529596507e-10
3m62,A,B,-9.76,,,,,,6.954553942173195e-08
3m63,A,B,-9.21,,,,,,1.760455319329278e-07
3ma2,D,C,-7.93,,,,,,1.5287757671011209e-06
3mc0,B,A,-9.41,,,,,,1.2558859365976154e-07
3mca,A,B,-8.74,,,,,,3.893236713834798e-07
3me2,R,A,-13.86,,,,,,6.845980825259288e-11
3mjh,A,B,-7.66,,,,,,2.4118749299379163e-06
3mzg,B,A,-3.14,,,,,,0.0049797264402731
3mzw,A,B,-14.53,,,,,,2.208386407666277e-11
3n06,B,A,-3.42,,,,,,0.0031035643302665
3n0p,B,A,-3.13,,,,,,0.0050645309099697
3ncb,B,A,-1.41,,,,,,0.0924575946265863
3ncc,B,A,-0.92,,,,,,0.2114929401481776
3nvn,B,A,-10.95,,,,,,9.32296731192576e-09
3o5t,A,B,-7.94,,,,,,1.503176749044235e-06
3o6b,A,B,-9.06,,,,,,2.267937669127921e-07
3oak,A,D,-9.23,,,,,,1.70199204579067e-07
3oed,A,C,-8.59,,,,,,5.015530982917399e-07
3oiq,A,B,-7.39,,,,,,3.8050973876264128e-06
3oky,A,B,-8.03,,,,,,1.2912382575756648e-06
3ol2,A,B,-7.17,,,,,,5.51706457714369e-06
3ona,A,B,-8.41,,,,,,6.797109187692996e-07
3oxu,B,F,-6.09,,,,,,3.4178424582240883e-05
3p71,T,C,-8.75,,,,,,3.828045310960746e-07
3p9w,B,A,-10.63,,,,,,1.6004195844865444e-08
3q3j,B,A,-7.03,,,,,,6.988443112792235e-06
3qbq,B,A,-9.05,,,,,,2.306560523945763e-07
3qbv,B,A,-8.62,,,,,,4.767774385465981e-07
3qc8,A,B,-6.75,,,,,,1.121308638771719e-05
3qht,C,A,-9.66,,,,,,8.23392079301751e-08
3qml,A,C,-10.75,,,,,,1.3068597169482669e-08
3qq8,A,B,-7.94,,,,,,1.503176749044235e-06
3qsk,B,A,-9.6,,,,,,9.111903840183589e-08
3qwq,A,B,-11.86,,,,,,2.005320422474886e-09
3r4d,B,A,-10.46,,,,,,2.1325903790466387e-08
3rbb,A,B,-10.79,,,,,,1.2215015133651665e-08
3rdz,A,C,-11.69,,,,,,2.672128660089911e-09
3rea,A,B,-9.2,,,,,,1.790435777406816e-07
3reb,A,B,-9.57,,,,,,9.58540239721058e-08
3rf3,A,C,-14.0,,,,,,5.404596946307826e-11
3rzw,A,D,-9.77,,,,,,6.838101447455253e-08
3sek,C,B,-12.12,,,,,,1.292726119980843e-09
3sf4,A,D,-11.75,,,,,,2.4146540746954327e-09
3sri,A,B,-9.25,,,,,,1.645470289492132e-07
3t04,D,A,-9.93,,,,,,5.219100883029291e-08
3t6g,A,B,-10.26,,,,,,2.9893877838254615e-08
3tac,A,B,-8.54,,,,,,5.457397907366243e-07
3tkl,B,A,-8.68,,,,,,4.3083725791506585e-07
3tu3,B,A,-9.88,,,,,,5.678902260675438e-08
3tz1,A,B,-9.34,,,,,,1.4134693014958394e-07
3u43,B,A,-20.45,,,,,,1.0057746709599801e-15
3u82,B,A,-10.59,,,,,,1.7122564829400236e-08
3ul4,A,B,-10.83,,,,,,1.1417185240337858e-08
3ux9,B,A,-12.44,,,,,,7.530552285587394e-10
3uyo,A,D,-7.05,,,,,,6.756362663589007e-06
3v4y,A,B,-10.57,,,,,,1.7710723389705804e-08
3v6b,R,A,-8.94,,,,,,2.777384454502083e-07
3vpj,E,A,-11.67,,,,,,2.7639160389860427e-09
3vux,A,G,-6.88,,,,,,9.002985312968705e-06
3vv2,A,B,-14.02,,,,,,5.2251147259023095e-11
3vyr,B,A,-9.35,,,,,,1.38980106515242e-07
3w8h,A,B,-9.25,,,,,,1.645470289492132e-07
3w8i,A,B,-11.82,,,,,,2.145451684694436e-09
3wdg,A,B,-12.17,,,,,,1.1880584881741854e-09
3wn7,A,B,-11.09,,,,,,7.3600674542720605e-09
3wo3,B,A,-9.76,,,,,,6.954553942173195e-08
3wqb,A,B,-11.92,,,,,,1.8120965511578406e-09
3wrx,C,A,-7.74,,,,,,2.107098603967315e-06
3wry,C,A,-8.87,,,,,,3.125879150718023e-07
3wwn,A,B,-7.06,,,,,,6.6432288387691466e-06
3zet,B,A,-8.91,,,,,,2.921710772534149e-07
3zkq,A,D,-12.16,,,,,,1.2082910594341794e-09
3zu7,A,B,-11.15,,,,,,6.650883669610932e-09
3zwl,B,E,-9.27,,,,,,1.5908255742426234e-07
3zwz,A,B,-10.49,,,,,,2.0272449354894565e-08
3zyi,A,B,-11.09,,,,,,7.3600674542720605e-09
3zyj,A,B,-11.05,,,,,,7.874387026759807e-09
4afq,A,C,-11.75,,,,,,2.4146540746954327e-09
4afz,A,C,-12.33,,,,,,9.067717336992477e-10
4ag2,A,C,-11.19,,,,,,6.216477837894075e-09
4ap2,B,A,-10.5,,,,,,1.9932991595123004e-08
4apf,B,A,-8.44,,,,,,6.461346403935047e-07
4apx,B,A,-7.55,,,,,,2.904196038677359e-06
4aqe,B,A,-7.66,,,,,,2.4118749299379163e-06
4awx,A,B,-8.59,,,,,,5.015530982917399e-07
4ayd,D,A,-8.3,,,,,,8.184561036862542e-07
4aye,D,A,-7.47,,,,,,3.324266649943442e-06
4ayi,D,A,-11.86,,,,,,2.005320422474886e-09
4b93,B,A,-7.69,,,,,,2.2927334216599213e-06
4bfi,B,A,-8.48,,,,,,6.039320294617096e-07
4bru,A,B,-9.13,,,,,,2.015092241991727e-07
4brw,A,B,-9.96,,,,,,4.9612883640877835e-08
4bwq,E,F,-6.42,,,,,,1.9576660272803033e-05
4c4k,T,O,-7.59,,,,,,2.714507005111046e-06
4c4p,A,B,-9.0,,,,,,2.5097678828958594e-07
4c5g,A,B,-8.16,,,,,,1.036734995748449e-06
4c7n,B,A,-12.27,,,,,,1.0034608117035556e-09
4c9b,A,B,-10.29,,,,,,2.8417183649132852e-08
4cdk,A,E,-7.8,,,,,,1.9040678339506136e-06
4cj0,A,B,-9.56,,,,,,9.748641277272225e-08
4cj1,A,B,-9.98,,,,,,4.796528057166699e-08
4cj2,B,C,-10.85,,,,,,1.1038029906818154e-08
4ct0,A,B,-10.3,,,,,,2.7941344083243164e-08
4cu4,A,B,-8.07,,,,,,1.2069003775147422e-06
4cvw,A,C,-14.35,,,,,,2.992832382583249e-11
4d0g,A,C,-7.83,,,,,,1.8100109196452197e-06
4d0n,B,A,-6.47,,,,,,1.7991604755035594e-05
4dbg,B,A,-8.57,,,,,,5.187814020620694e-07
4dge,A,C,-6.02,,,,,,3.846699171691321e-05
4dh2,A,B,-10.21,,,,,,3.2527520398778755e-08
4did,A,B,-7.12,,,,,,6.0031164757345105e-06
4dj9,A,B,-9.55,,,,,,9.914660106558694e-08
4ds8,B,A,-6.97,,,,,,7.733620863872807e-06
4dx8,A,J,-8.05,,,,,,1.2483572968223238e-06
4dxa,B,A,-7.83,,,,,,1.8100109196452197e-06
4ehq,A,G,-8.03,,,,,,1.2912382575756648e-06
4eig,A,B,-12.27,,,,,,1.0034608117035556e-09
4eiz,A,D,-11.62,,,,,,3.0074162952383083e-09
4eqa,C,A,-11.75,,,,,,2.4146540746954327e-09
4euk,B,A,-7.35,,,,,,4.070996589479837e-06
4exp,X,A,-8.59,,,,,,5.015530982917399e-07
4f0a,B,A,-7.66,,,,,,2.4118749299379163e-06
4f38,B,A,-11.64,,,,,,2.907542473061447e-09
4fq0,B,C,-8.26,,,,,,8.756496003441672e-07
4g01,A,B,-7.46,,,,,,3.380878729695144e-06
4g0n,A,B,-9.68,,,,,,7.960479054205976e-08
4g2v,A,B,-9.49,,,,,,1.0971860401630097e-07
4g59,C,A,-8.7,,,,,,4.165295068556929e-07
4geh,A,B,-10.82,,,,,,1.16116192823173e-08
4gh7,B,A,-11.23,,,,,,5.810445442851764e-09
4giq,R,A,-7.74,,,,,,2.107098603967315e-06
4gla,A,D,-6.07,,,,,,3.535245038947781e-05
4glv,A,B,-11.64,,,,,,2.907542473061447e-09
4gn3,A,B,-7.28,,,,,,4.5818083776884024e-06
4gn4,A,B,-9.0,,,,,,2.5097678828958594e-07
4gn5,D,A,-10.24,,,,,,3.0920729850583325e-08
4h5s,B,A,-6.69,,,,,,1.2408737888661093e-05
4h6j,B,A,-9.16,,,,,,1.915550957304813e-07
4hcn,A,B,-5.42,,,,,,0.0001059528525059
4hcp,A,B,-6.85,,,,,,9.47082393697025e-06
4hdo,A,B,-8.79,,,,,,3.578014594778486e-07
4hep,A,G,-8.89,,,,,,3.0220712745222757e-07
4hgk,A,D,-13.26,,,,,,1.8856457556525827e-10
4hgm,B,A,-10.63,,,,,,1.6004195844865444e-08
4i0c,A,D,-8.64,,,,,,4.609440518649027e-07
4ika,A,D,-5.78,,,,,,5.768966217152802e-05
4iop,B,A,-12.51,,,,,,6.690994067061496e-10
4iu3,B,A,-10.47,,,,,,2.0968806165059436e-08
4j2l,A,C,-9.62,,,,,,8.80930500633809e-08
4j32,A,B,-12.13,,,,,,1.2710797019775335e-09
4je4,A,B,-10.71,,,,,,1.3981827292845348e-08
4jeg,A,B,-10.8,,,,,,1.2010477359243812e-08
4jeh,A,B,-11.03,,,,,,8.144871512179659e-09
4jeu,A,B,-12.07,,,,,,1.4066149418695176e-09
4js0,A,B,-7.23,,,,,,4.985464457804071e-06
4jw2,B,A,-11.5,,,,,,3.682972147035661e-09
4jw3,A,C,-7.96,,,,,,1.4532574852655151e-06
4k1r,A,B,-6.81,,,,,,1.013264261575723e-05
4k5a,A,B,-10.89,,,,,,1.0317075399059094e-08
4k5b,A,D,-12.53,,,,,,6.468791656075652e-10
4k81,A,B,-7.42,,,,,,3.617133643619944e-06
4kbb,A,C,-9.2,,,,,,1.790435777406816e-07
4kdi,A,C,-8.38,,,,,,7.15031982827661e-07
4kr0,A,B,-10.6,,,,,,1.6835851201620068e-08
4krl,A,B,-9.99,,,,,,4.7162112370102766e-08
4kt1,A,E,-9.88,,,,,,5.678902260675438e-08
4lqw,A,D,-5.49,,,,,,9.414049336890084e-05
4lyl,A,B,-10.24,,,,,,3.0920729850583325e-08
4lzx,A,B,-11.31,,,,,,5.076209105658879e-09
4m1l,A,B,-9.2,,,,,,1.790435777406816e-07
4m5f,A,B,-14.82,,,,,,1.3533078194441268e-11
4m6b,A,C,-11.11,,,,,,7.115645666273685e-09
4m76,A,B,-8.65,,,,,,4.532256438675826e-07
4mi8,A,C,-7.99,,,,,,1.3814696464511385e-06
4mit,A,E,-9.2,,,,,,1.790435777406816e-07
4mjs,A,B,-10.45,,,,,,2.168908276895892e-08
4ml7,A,B,-13.05,,,,,,2.688243833338981e-10
4mp0,A,B,-10.99,,,,,,8.714032985242024e-09
4mqv,A,B,-7.55,,,,,,2.904196038677359e-06
4mrt,A,C,-8.23,,,,,,9.211525851754752e-07
4msm,A,B,-7.53,,,,,,3.0039549111344034e-06
4myw,B,A,-10.53,,,,,,1.894834406897757e-08
4ne9,A,P,-8.09,,,,,,1.1668202084074815e-06
4niq,A,C,-7.23,,,,,,4.985464457804071e-06
4nl9,A,C,-9.0,,,,,,2.5097678828958594e-07
4nqw,A,B,-8.7,,,,,,4.165295068556929e-07
4ofy,D,A,-8.48,,,,,,6.039320294617096e-07
4ojk,A,C,-6.35,,,,,,2.2033058508788777e-05
4ons,A,B,-10.64,,,,,,1.573620906273881e-08
4p3y,A,B,-9.32,,,,,,1.4620218447442938e-07
4p5t,B,A,-7.23,,,,,,4.985464457804071e-06
4pas,B,A,-9.41,,,,,,1.2558859365976154e-07
4pbv,A,C,-7.66,,,,,,2.4118749299379163e-06
4pbw,B,E,-8.53,,,,,,5.550337096096439e-07
4pbz,A,B,-9.96,,,,,,4.9612883640877835e-08
4pc0,A,C,-9.13,,,,,,2.015092241991727e-07
4pgj,B,A,-10.34,,,,,,2.6116341058272472e-08
4pj2,D,A,-14.08,,,,,,4.721645612388512e-11
4pou,B,A,-9.28,,,,,,1.5641875456469656e-07
4pvz,A,C,-10.31,,,,,,2.7473472347496834e-08
4pw9,A,B,-6.64,,,,,,1.3501944343935582e-05
4qlp,B,A,-13.14,,,,,,2.3092183174774418e-10
4qxa,A,B,-8.86,,,,,,3.179112702177453e-07
4qzv,A,B,-6.06,,,,,,3.5954500691580226e-05
4re1,A,D,-8.07,,,,,,1.2069003775147422e-06
4rey,A,B,-9.5,,,,,,1.0788138983104793e-07
4rjf,A,B,-9.0,,,,,,2.5097678828958594e-07
4rt6,A,B,-10.74,,,,,,1.3291154666551744e-08
4s0s,A,D,-10.83,,,,,,1.1417185240337858e-08
4tq0,A,B,-7.04,,,,,,6.871423151275514e-06
4tq1,A,B,-4.71,,,,,,0.0003514052360823
4u0q,A,B,-8.12,,,,,,1.109181763812641e-06
4u2x,A,D,-12.27,,,,,,1.0034608117035556e-09
4u4c,A,B,-8.87,,,,,,3.125879150718023e-07
4udm,B,A,-11.45,,,,,,4.007440998087352e-09
4uem,A,B,-11.17,,,,,,6.430013291941781e-09
4uf1,A,B,-7.03,,,,,,6.988443112792235e-06
4ui1,A,D,-9.42,,,,,,1.2348563994606485e-07
4uwx,A,C,-7.04,,,,,,6.871423151275514e-06
4uyq,A,B,-14.8,,,,,,1.3997938212005826e-11
4v0n,D,C,-8.81,,,,,,3.459191672274906e-07
4wem,A,B,-7.05,,,,,,6.756362663589007e-06
4wen,A,B,-9.54,,,,,,1.0083506227453717e-07
4weu,B,D,-7.15,,,,,,5.706575248654422e-06
4wnd,A,B,-10.2,,,,,,3.3081462297203935e-08
